#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU1238	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0
OTU1180	0	0	1	0	5	0	0	1	4	8	9	2	0	1	2	1	0	0	3	1	0	5	0	0	0	0	0	1	1	39	2	0	0	5	0	2	1	0	1	1	2	0	1
OTU913	0	0	4	1	1	1	2	3	29	14	31	1	5	8	0	10	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	3	0	2	2	0	7	0	0	9	4	1	1
OTU659	0	0	3	0	0	0	1	3	14	14	24	1	0	3	0	1	0	0	0	0	0	2	0	0	17	0	0	1	0	49	0	0	0	4	2	2	6	1	0	0	0	0	0
OTU740	0	0	1	0	0	1	3	0	9	13	24	1	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	0	0	1	0	1	1	0	0	0	1	1	0
OTU1234	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	6	0	3	1	0	0	12	0	0	5	0	0	0	0	4	3
OTU302	0	0	1	2	6	1	9	0	99	142	145	1	0	0	3	0	1	0	0	0	0	5	1	0	0	5	1	2	17	0	1	3	0	1	1	2	1	2	0	0	2	0	1
OTU342	0	0	1	0	0	0	0	0	51	72	34	0	0	1	1	2	4	0	0	0	0	5	0	0	0	2	0	1	31	6	6	6	0	70	3	6	8	11	0	1	9	0	1
OTU211	0	0	3	0	0	1	0	0	70	86	24	0	0	20	2	2	2	0	0	0	0	6	0	0	4	5	0	6	50	17	2	3	0	39	5	2	13	4	0	1	4	9	1
OTU310	0	0	1	3	4	11	3	4	72	78	89	4	1	3	1	2	0	0	3	2	0	2	1	0	1	2	1	0	2	3	1	0	1	0	4	1	1	1	0	0	0	0	1
